user_id,habit_type,activity_type,difficulty_level,streak_length,missed_days_last_7,checkin_hour_avg,engagement_freq,days_since_last,goal_age_days,pomodoro_sessions,pomodoro_completion_rate,overall_risk,activity_specific_risk
1,exercise,screen_based,medium,4,3,7,0.696,3,158,0,0.0,0,0
1,exercise,outdoor,medium,11,2,19,0.561,1,21,0,0.0,0,0
1,studying,self_care,medium,8,3,22,0.62,1,173,1,0.717,0,0
1,exercise,outdoor,medium,5,2,8,0.574,1,87,0,0.0,0,0
1,hydration,self_care,medium,3,2,16,0.583,1,152,0,0.0,0,0
1,hydration,outdoor,high,15,3,19,0.539,2,88,0,0.0,0,0
1,exercise,self_care,medium,13,0,11,0.529,0,71,0,0.0,0,0
1,sleep,self_care,medium,15,1,11,0.731,1,47,0,0.0,0,0
1,sleep,self_care,medium,10,1,12,0.723,2,178,0,0.0,0,0
1,studying,screen_based,medium,13,2,11,0.759,2,148,1,0.43,0,0
1,studying,screen_based,high,27,1,15,0.626,0,149,5,0.698,0,0
1,journaling,outdoor,medium,7,2,15,0.547,0,90,0,0.0,0,0
1,hydration,screen_based,high,7,2,17,0.399,1,122,0,0.0,0,0
1,sleep,screen_based,low,0,3,19,0.54,2,178,0,0.0,0,0
1,studying,outdoor,low,0,4,11,0.571,3,18,0,0.571,0,0
1,sleep,self_care,low,11,6,16,0.611,5,136,0,0.0,0,1
1,hydration,self_care,medium,6,3,9,0.495,1,44,0,0.0,0,0
1,journaling,outdoor,medium,6,3,20,0.686,2,76,0,0.0,0,0
1,exercise,screen_based,medium,2,3,12,0.632,1,167,0,0.0,0,0
1,hydration,self_care,low,6,2,20,0.427,3,96,0,0.0,0,0
1,sleep,self_care,medium,9,2,23,0.718,0,105,0,0.0,0,0
1,studying,self_care,high,15,4,7,0.676,4,118,2,0.285,0,0
1,studying,self_care,high,3,2,5,0.487,4,151,3,1.0,0,0
1,exercise,screen_based,high,18,3,20,0.586,7,67,0,0.0,0,1
1,studying,self_care,low,5,3,21,0.66,2,43,6,0.807,0,0
1,journaling,indoor,low,5,2,14,0.365,1,24,0,0.0,0,0
1,hydration,screen_based,medium,12,1,12,0.581,2,23,0,0.0,0,0
1,sleep,indoor,medium,3,1,17,0.636,1,159,0,0.0,0,0
1,journaling,outdoor,low,4,3,16,0.492,2,148,0,0.0,0,0
1,studying,screen_based,low,2,5,21,0.719,3,69,0,0.525,0,0
1,sleep,self_care,medium,14,1,12,0.796,4,61,0,0.0,0,0
1,journaling,self_care,high,0,3,9,0.677,2,98,0,0.0,0,0
1,hydration,indoor,low,22,1,20,0.534,0,124,0,0.0,0,0
1,sleep,self_care,high,13,6,7,0.806,4,99,0,0.0,0,1
1,journaling,outdoor,medium,10,5,8,0.463,4,45,0,0.0,0,1
1,sleep,outdoor,medium,21,0,23,0.59,0,144,0,0.0,0,0
1,hydration,self_care,high,5,3,16,0.503,3,134,0,0.0,0,0
1,hydration,screen_based,medium,24,0,12,0.645,0,167,0,0.0,0,0
1,hydration,screen_based,low,8,3,6,0.519,4,96,0,0.0,0,0
1,studying,indoor,medium,5,4,14,0.565,4,170,5,0.294,0,0
1,studying,indoor,medium,9,2,16,0.602,3,43,5,0.509,0,0
1,sleep,screen_based,low,11,4,21,0.689,3,25,0,0.0,0,0
1,journaling,self_care,high,9,4,23,0.607,4,58,0,0.0,0,1
1,hydration,screen_based,low,12,1,20,0.607,0,59,0,0.0,0,0
1,sleep,screen_based,low,7,2,22,0.787,0,81,0,0.0,0,0
1,journaling,indoor,medium,6,3,13,0.514,3,176,0,0.0,0,0
1,hydration,screen_based,medium,18,2,23,0.738,1,165,0,0.0,0,0
1,exercise,self_care,medium,16,2,22,0.454,1,147,0,0.0,0,0
1,journaling,outdoor,low,19,4,5,0.585,4,119,0,0.0,0,0
1,exercise,outdoor,high,11,3,7,0.562,2,170,0,0.0,0,0
1,studying,self_care,low,8,2,14,0.758,0,18,6,0.453,0,0
1,hydration,self_care,medium,3,2,21,0.414,0,161,0,0.0,0,0
1,sleep,indoor,medium,2,3,6,0.653,2,53,0,0.0,0,0
1,hydration,self_care,high,4,3,19,0.521,5,152,0,0.0,0,1
1,sleep,screen_based,medium,13,2,13,0.608,2,104,0,0.0,0,0
1,studying,screen_based,low,11,3,13,0.649,2,84,0,0.655,0,0
1,sleep,self_care,medium,6,2,7,0.82,2,124,0,0.0,0,0
1,studying,outdoor,high,23,5,19,0.691,4,118,5,0.516,0,1
1,hydration,screen_based,low,17,0,10,0.33,0,58,0,0.0,0,0
1,sleep,self_care,high,12,0,21,0.652,1,144,0,0.0,0,0
1,hydration,indoor,low,13,2,20,0.564,0,49,0,0.0,0,0
1,studying,screen_based,medium,25,1,12,0.477,3,138,0,0.826,0,0
1,studying,screen_based,medium,8,2,10,0.508,0,155,2,0.419,0,0
1,hydration,outdoor,medium,23,3,15,0.6,1,100,0,0.0,0,0
1,exercise,indoor,low,15,4,18,0.506,3,133,0,0.0,0,0
1,hydration,self_care,medium,21,2,19,0.612,2,113,0,0.0,0,0
1,journaling,indoor,high,4,0,14,0.516,0,34,0,0.0,0,0
1,sleep,indoor,low,6,2,14,0.684,2,74,0,0.0,0,0
1,studying,indoor,medium,11,1,16,0.639,3,119,1,0.474,0,0
1,journaling,outdoor,medium,11,0,10,0.551,0,156,0,0.0,0,0
1,journaling,outdoor,low,6,2,10,0.657,0,42,0,0.0,0,0
1,hydration,self_care,high,12,3,6,0.511,1,68,0,0.0,0,0
1,studying,self_care,medium,8,3,19,0.477,3,146,4,0.689,0,0
1,exercise,outdoor,low,28,0,9,0.526,0,16,0,0.0,0,0
1,hydration,self_care,low,7,3,7,0.452,2,44,0,0.0,0,0
1,sleep,indoor,high,12,3,12,0.764,3,70,0,0.0,0,0
1,studying,indoor,medium,14,3,8,0.493,2,84,3,0.319,0,0
1,hydration,self_care,medium,14,3,19,0.84,4,69,0,0.0,0,0
1,sleep,indoor,medium,15,0,11,0.747,0,73,0,0.0,0,0
1,studying,self_care,medium,21,2,5,0.696,3,161,2,0.503,0,0
1,hydration,indoor,high,17,2,12,0.457,1,163,0,0.0,0,0
1,exercise,indoor,low,17,4,15,0.696,6,42,0,0.0,0,0
1,studying,indoor,high,10,3,18,0.4,2,96,3,0.607,0,0
1,hydration,indoor,low,15,5,13,0.655,6,37,0,0.0,0,1
1,studying,indoor,low,9,2,5,0.523,1,63,2,0.739,0,0
1,exercise,screen_based,low,17,2,10,0.296,3,81,0,0.0,0,0
1,hydration,screen_based,low,9,5,11,0.394,4,158,0,0.0,0,1
1,journaling,outdoor,low,17,1,21,0.488,0,120,0,0.0,0,0
1,sleep,self_care,medium,18,3,5,0.593,0,77,0,0.0,0,0
1,exercise,outdoor,medium,12,2,20,0.509,1,179,0,0.0,0,0
1,studying,outdoor,low,12,5,23,0.91,2,172,1,0.519,0,0
1,exercise,screen_based,high,3,1,22,0.785,0,93,0,0.0,0,0
1,exercise,self_care,low,7,1,23,0.559,1,73,0,0.0,0,0
1,sleep,self_care,low,10,2,8,0.628,3,150,0,0.0,0,0
1,journaling,indoor,low,1,1,23,0.489,1,167,0,0.0,0,0
1,exercise,screen_based,medium,17,2,7,0.701,1,136,0,0.0,0,0
1,journaling,self_care,medium,18,0,16,0.509,0,92,0,0.0,0,0
1,sleep,outdoor,medium,11,3,13,0.414,2,20,0,0.0,0,0
1,hydration,indoor,medium,15,1,17,0.548,0,35,0,0.0,0,0
1,hydration,screen_based,medium,12,4,21,0.738,3,40,0,0.0,0,0
2,hydration,self_care,low,21,5,21,0.654,3,179,0,0.0,0,0
2,hydration,indoor,medium,8,2,8,0.506,2,57,0,0.0,0,0
2,studying,outdoor,low,10,4,6,0.645,4,60,3,0.575,0,0
2,exercise,self_care,low,8,3,6,0.582,6,160,0,0.0,0,0
2,exercise,indoor,low,11,5,7,0.811,4,45,0,0.0,0,0
2,studying,outdoor,medium,5,4,21,0.73,1,50,0,0.559,0,0
2,studying,self_care,medium,16,4,16,0.595,4,95,3,0.624,0,0
2,hydration,indoor,medium,7,2,22,0.667,0,78,0,0.0,0,0
2,studying,screen_based,medium,20,0,7,0.749,2,158,0,1.0,0,0
2,studying,indoor,medium,0,0,17,0.631,2,10,4,0.636,0,0
2,hydration,self_care,low,16,2,16,0.511,3,68,0,0.0,0,0
2,sleep,self_care,high,1,0,17,0.688,0,9,0,0.0,0,0
2,hydration,self_care,medium,2,3,9,0.487,2,146,0,0.0,0,0
2,exercise,indoor,low,17,2,6,0.674,1,83,0,0.0,0,0
2,sleep,screen_based,high,18,5,13,0.602,2,63,0,0.0,0,0
2,sleep,outdoor,medium,8,2,21,0.452,1,88,0,0.0,0,0
2,studying,self_care,medium,20,3,13,0.728,2,73,2,0.565,0,0
2,sleep,indoor,medium,6,1,20,0.517,1,43,0,0.0,0,0
2,exercise,self_care,low,11,4,12,0.529,7,73,0,0.0,0,1
2,hydration,self_care,medium,15,2,20,0.726,2,103,0,0.0,0,0
2,sleep,indoor,high,18,4,9,0.671,6,13,0,0.0,0,1
2,studying,indoor,high,9,1,6,0.653,0,106,2,0.785,0,0
2,hydration,self_care,low,15,0,17,0.487,0,94,0,0.0,0,0
2,studying,self_care,low,13,5,19,0.627,4,66,2,0.654,0,0
2,hydration,self_care,low,9,3,22,0.709,0,126,0,0.0,0,0
2,hydration,outdoor,high,14,2,6,0.349,1,64,0,0.0,0,0
2,hydration,indoor,high,19,3,15,0.534,4,90,0,0.0,0,0
2,studying,screen_based,high,10,1,10,0.669,0,90,1,0.826,0,0
2,studying,indoor,low,17,4,16,0.559,4,30,0,0.978,0,0
2,studying,self_care,low,10,1,16,0.596,0,99,4,0.667,0,0
2,sleep,outdoor,low,14,1,6,0.555,0,69,0,0.0,0,0
