streak_length,missed_days_last_7,checkin_hour_avg,engagement_freq,days_since_last,goal_age_days,label
38.0,4,22,0.43,7,96,0
51.0,3,18,0.8,3,148,0
28.0,4,22,0.41,7,70,0
14.0,7,6,0.94,8,44,0
42.0,6,7,0.87,2,43,0
7.0,2,20,0.49,2,132,0
60.0,2,13,0.78,10,145,0
20.0,5,8,0.78,12,106,0
38.0,3,5,0.19,1,83,0
57.0,1,8,0.91,12,9,0
18.0,1,5,0.55,9,167,0
22.0,4,18,0.84,2,140,0
10.0,5,20,0.39,2,16,0
10.0,0,12,0.91,4,11,0
23.0,4,11,0.45,4,157,0
52.0,5,7,0.11,1,144,0
35.0,3,21,0.91,11,178,0
39.0,3,5,0.18,9,136,0
23.0,3,20,0.39,12,19,0
5.0,3,16,0.96,5,174,0
21.0,3,23,0.96,4,136,0
52.0,5,18,0.62,5,90,0
1.0,5,10,0.67,0,71,0
23.0,2,10,0.5,4,69,0
43.0,7,17,0.36,8,107,0
29.0,1,23,0.4,11,79,0
37.0,6,12,0.71,9,23,0
13.0,3,6,0.78,13,15,0
59.0,0,5,0.81,1,149,0
20.0,6,19,0.81,0,158,0
32.0,5,5,0.18,13,44,0
11.0,0,9,0.54,9,169,0
57.0,0,20,0.15,12,100,0
21.0,0,23,0.59,10,101,0
60.0,2,8,0.5,8,55,0
43.0,5,7,0.9,9,75,0
24.0,0,21,0.42,8,68,0
48.0,3,21,0.21,14,84,0
26.0,4,16,0.23,8,123,0
58.0,0,18,0.79,5,126,0
41.0,2,10,0.66,14,143,0
27.0,6,7,0.19,7,168,0
59.0,5,13,0.18,13,82,0
15.0,7,9,0.73,10,41,0
14.0,2,21,0.17,14,7,0
46.0,0,18,0.84,12,46,0
50.0,5,7,0.74,0,70,0
43.0,4,5,0.17,9,156,0
54.0,0,5,0.18,3,66,0
51.0,2,7,0.99,0,70,0
56.0,1,22,0.44,7,99,0
2.0,3,14,0.43,0,78,0
36.0,7,7,0.83,2,17,0
50.0,6,12,0.95,12,111,0
6.0,2,18,0.99,3,20,0
20.0,5,22,0.78,14,66,0
14.0,7,19,0.44,14,36,1
38.0,7,6,0.18,14,41,0
17.0,7,14,0.8,7,171,0
5.0,0,6,0.6,5,11,0
24.0,3,21,0.48,13,89,0
59.0,0,12,0.92,9,129,0
13.0,5,5,0.2,11,84,0
49.0,0,13,0.54,6,160,0
57.0,1,15,0.11,13,68,0
8.0,3,20,0.52,7,138,0
25.0,3,11,0.15,1,95,0
52.0,5,14,0.21,12,48,0
9.0,6,7,0.21,9,95,0
19.0,1,22,0.68,13,152,0
27.0,2,17,0.77,10,46,0
46.0,0,11,0.63,7,78,0
59.0,4,8,0.97,2,45,0
6.0,0,17,0.44,6,110,0
43.0,7,5,0.36,2,20,0
60.0,0,12,0.88,14,38,0
7.0,2,18,0.3,6,131,0
46.0,0,20,0.97,13,172,0
34.0,1,18,0.11,10,103,0
14.0,1,16,0.97,14,29,0
16.0,3,23,0.14,11,69,0
35.0,5,19,0.9,12,149,0
49.0,6,6,0.57,1,159,0
39.0,4,6,0.99,9,151,0
5.0,7,23,0.17,5,59,0
2.0,0,21,0.6,2,110,0
5.0,0,14,0.97,2,110,0
53.0,2,10,0.57,14,45,0
41.0,5,19,0.67,8,140,0
6.0,1,15,0.73,6,73,0
53.0,4,9,0.51,4,141,0
28.0,3,5,0.66,11,48,0
17.0,1,12,0.63,9,21,0
25.0,7,16,0.91,6,117,0
43.0,5,16,0.14,8,163,0
33.0,7,9,0.35,0,39,0
9.0,6,11,0.96,6,161,0
35.0,3,8,0.9,5,170,0
13.0,6,10,0.51,9,163,0
30.0,2,17,0.66,13,44,0
47.0,7,19,0.35,11,103,0
14.0,2,7,0.27,8,161,0
7.0,0,12,0.52,0,39,0
13.0,6,20,0.42,12,92,0
22.0,5,17,0.63,3,72,0
59.0,7,22,0.17,8,16,0
56.0,4,14,0.98,3,11,0
39.0,3,23,0.99,9,129,0
20.0,1,21,0.73,2,80,0
15.0,5,23,0.58,8,103,0
44.0,5,9,0.38,12,124,0
17.0,2,13,0.83,1,44,0
46.0,6,16,0.72,14,147,0
52.0,7,5,0.25,3,165,0
23.0,7,5,0.92,14,53,0
25.0,0,19,0.84,5,115,0
24.0,0,6,0.95,1,21,0
59.0,3,20,0.75,14,163,0
59.0,2,12,0.65,7,142,0
59.0,5,17,0.48,7,11,0
44.0,7,5,0.94,0,163,0
40.0,4,20,0.88,11,53,0
28.0,2,11,0.14,2,74,0
14.0,3,9,0.12,9,82,0
44.0,3,7,0.44,8,179,0
4.0,2,16,0.83,4,136,0
24.0,3,20,0.99,5,161,0
6.0,2,23,0.24,3,101,0
9.0,1,9,0.63,9,121,0
23.0,2,18,0.44,1,170,0
10.0,6,9,0.97,10,42,0
43.0,2,19,0.86,7,32,0
10.0,3,21,0.85,10,49,0
23.0,7,18,0.52,12,33,0
10.0,6,9,0.47,5,75,0
50.0,3,16,0.35,4,154,0
16.0,0,20,0.15,8,17,0
7.0,0,20,0.88,0,80,0
34.0,7,11,0.83,4,110,0
34.0,7,8,1.0,5,44,0
32.0,6,5,1.0,4,140,0
58.0,1,9,0.6,5,29,0
5.0,7,14,0.79,5,53,0
41.0,0,9,0.95,6,96,0
38.0,2,8,0.86,3,52,0
57.0,3,6,0.32,13,113,0
40.0,0,14,0.51,10,146,0
27.0,0,23,0.22,13,147,0
13.0,1,5,0.96,13,110,0
13.0,6,9,0.65,13,117,0
14.0,6,17,0.31,14,110,1
11.0,5,8,0.7,7,66,0
33.0,1,20,0.66,6,177,0
32.0,2,20,0.42,8,106,0
47.0,6,6,0.2,6,74,0
54.0,3,21,0.7,2,139,0
22.0,7,16,0.57,2,126,0
23.0,1,22,0.8,14,43,0
36.0,7,7,0.57,7,78,0
34.0,0,5,0.87,4,133,0
43.0,3,5,0.6,3,112,0
39.0,3,23,0.6,7,98,0
21.0,0,15,0.89,14,37,0
26.0,1,9,0.46,5,128,0
34.0,0,16,0.22,1,143,0
3.0,7,7,0.13,3,57,0
34.0,5,5,0.78,11,35,0
36.0,3,5,0.66,10,46,0
46.0,4,12,0.73,3,47,0
14.0,4,14,0.29,14,17,0
5.0,7,15,0.22,5,157,0
5.0,2,16,0.11,5,7,0
4.0,6,17,0.42,0,52,0
25.0,0,16,0.63,13,107,0
54.0,0,18,0.45,7,155,0
13.0,2,6,0.49,5,96,0
38.0,2,23,0.91,2,116,0
26.0,7,22,0.41,13,170,0
8.0,7,7,0.56,8,63,0
14.0,2,21,0.81,1,7,0
14.0,3,12,0.46,14,69,0
25.0,7,14,0.66,10,61,0
41.0,5,6,0.88,7,121,0
59.0,7,23,0.95,9,174,0
12.0,0,13,0.23,2,149,0
50.0,7,11,0.93,12,155,0
31.0,3,8,0.54,11,59,0
38.0,2,22,0.33,4,143,0
48.0,0,17,0.51,5,63,0
51.0,7,15,0.98,9,123,0
60.0,3,8,0.54,5,160,0
31.0,5,8,0.4,3,175,0
3.0,7,14,0.67,2,41,0
29.0,3,9,0.32,3,69,0
36.0,5,13,0.17,0,31,0
22.0,2,7,0.22,3,96,0
38.0,7,21,0.22,0,81,0
44.0,5,7,0.24,11,44,0
14.0,0,20,0.22,14,136,0
42.0,2,8,0.68,0,141,0
