streak_length,missed_days_last_7,checkin_hour_avg,engagement_freq,days_since_last,goal_age_days,label
31,3,18,1.0,4,159,0
53,7,12,0.9428100987791611,15,98,0
47,1,22,0.6116546384350575,0,147,0
16,7,10,0.7367337137579847,8,39,0
26,0,19,0.3546263899851565,13,162,0
25,7,5,0.1180534269913684,7,193,0
23,0,13,0.7294540241221867,13,115,0
43,3,8,0.7227295438474088,12,136,0
19,5,10,0.6058970023876293,7,163,0
15,0,19,0.7731853795616118,4,95,0
25,4,23,0.7526483515012529,3,122,0
15,7,18,0.40176762266019844,15,42,1
22,1,4,0.8943019376809628,10,114,0
39,2,4,0.5679919158666759,10,54,0
3,0,8,0.5079473118173393,1,38,0
6,1,13,0.5625863084248349,0,78,0
8,5,19,0.38362116484485703,0,12,0
0,6,14,0.6497889446865007,0,40,0
63,3,5,1.0,1,61,0
14,3,8,0.4500670938463226,4,85,0
39,1,18,0.22877187609710792,5,167,0
11,3,18,0.8205463564453432,11,51,0
30,1,2,0.8335257556285518,3,135,0
50,7,5,0.291814609219085,13,52,0
9,3,18,0.015059232525360802,3,13,0
32,7,16,0.8919924067850784,6,116,0
27,2,14,0.7203662657666221,13,33,0
39,5,20,0.9788651808769744,11,119,0
53,4,13,0.8186919320125895,5,5,0
39,3,19,0.17445987136603716,9,107,0
61,0,18,0.7826950657187745,6,131,0
40,1,23,0.9093309382026727,1,119,0
39,6,7,0.860927717144325,0,47,0
54,3,8,0.8628801134956006,2,47,0
6,1,15,0.8444460503515511,0,21,0
18,3,18,0.6896645371757889,0,10,0
44,3,10,0.6804834433635643,6,45,0
55,6,22,0.031176439768857228,7,31,0
11,1,19,0.9139799752596723,11,32,0
34,3,20,0.6710585495166173,7,89,0
29,3,5,0.6283648495917096,5,44,0
28,2,5,0.7143887648107319,0,175,0
67,0,20,0.7231262435440914,3,130,0
20,3,23,1.0,6,143,0
42,4,7,0.8483690563529401,3,45,0
50,6,15,1.0,9,98,0
7,5,9,0.9209546513108613,4,168,0
19,1,12,0.6072995497472605,7,23,0
19,7,5,0.5503104107902252,12,114,0
35,2,5,0.5105821035349469,8,178,0
52,4,12,0.6902091190247717,7,53,0
64,1,6,0.500524373956559,8,168,0
33,0,6,1.0,3,136,0
55,3,7,1.0,11,8,0
45,1,22,0.3016243493118199,2,162,0
33,1,19,0.031402325861488736,10,94,0
49,5,10,0.36218029672194907,13,124,0
56,3,7,0.4911678420774567,0,152,0
56,7,8,0.9307903891105254,14,136,0
19,4,15,0.41405700003774437,13,99,0
